"type","number","percent","time"
"SC.KE","587","1.00","1466074806.72107"
"CO.KE","54408","92.78","1466074806.72107"
"INFO.KE","125","0.21","1466074806.72107"
"ME.KE","332","0.57","1466074806.72107"
"MOBI.KE","45","0.08","1466074806.72107"
"NE.KE","185","0.32","1466074806.72107"
"OR.KE","1788","3.05","1466074806.72107"
"AC.KE","804","1.37","1466082006.75666"
"GO.KE","367","0.63","1466082006.75666"
"SC.KE","588","1.00","1466082006.75666"
"CO.KE","54418","92.78","1466082006.75666"
"INFO.KE","125","0.21","1466082006.75666"
"ME.KE","332","0.57","1466082006.75666"
"MOBI.KE","45","0.08","1466082006.75666"
"NE.KE","185","0.32","1466082006.75666"
"OR.KE","1788","3.05","1466082006.75666"
"AC.KE","804","1.37","1466089205.94037"
"GO.KE","367","0.63","1466089205.94037"
"SC.KE","589","1.00","1466089205.94037"
"CO.KE","54428","92.78","1466089205.94037"
"INFO.KE","125","0.21","1466089205.94037"
"ME.KE","332","0.57","1466089205.94037"
"MOBI.KE","45","0.08","1466089205.94037"
"NE.KE","187","0.32","1466089205.94037"
"OR.KE","1788","3.05","1466089205.94037"
"AC.KE","804","1.37","1466096405.96235"
"GO.KE","367","0.63","1466096405.96235"
"SC.KE","589","1.00","1466096405.96235"
"CO.KE","54432","92.78","1466096405.96235"
"INFO.KE","125","0.21","1466096405.96235"
"ME.KE","332","0.57","1466096405.96235"
"MOBI.KE","45","0.08","1466096405.96235"
"NE.KE","187","0.32","1466096405.96235"
"OR.KE","1788","3.05","1466096405.96235"
"AC.KE","804","1.37","1466103606.08148"
"GO.KE","367","0.63","1466103606.08148"
"SC.KE","589","1.00","1466103606.08148"
"CO.KE","54437","92.78","1466103606.08148"
"INFO.KE","125","0.21","1466103606.08148"
"ME.KE","332","0.57","1466103606.08148"
"MOBI.KE","45","0.08","1466103606.08148"
"NE.KE","188","0.32","1466103606.08148"
"OR.KE","1788","3.05","1466103606.08148"
"AC.KE","804","1.37","1466110806.42614"
"GO.KE","367","0.63","1466110806.42614"
"SC.KE","589","1.00","1466110806.42614"
"CO.KE","54439","92.78","1466110806.42614"
"INFO.KE","125","0.21","1466110806.42614"
"ME.KE","332","0.57","1466110806.42614"
"MOBI.KE","45","0.08","1466110806.42614"
"NE.KE","188","0.32","1466110806.42614"
"OR.KE","1788","3.05","1466110806.42614"
"AC.KE","804","1.37","1466118005.82281"
"GO.KE","367","0.63","1466118005.82281"
"SC.KE","589","1.00","1466118005.82281"
"CO.KE","54442","92.78","1466118005.82281"
"INFO.KE","125","0.21","1466118005.82281"
"ME.KE","333","0.57","1466118005.82281"
"MOBI.KE","45","0.08","1466118005.82281"
"NE.KE","188","0.32","1466118005.82281"
"OR.KE","1788","3.05","1466118005.82281"
"AC.KE","804","1.37","1466125205.56112"
"GO.KE","367","0.63","1466125205.56112"
"SC.KE","589","1.00","1466125205.56112"
"CO.KE","54442","92.78","1466125205.56112"
"INFO.KE","125","0.21","1466125205.56112"
"ME.KE","333","0.57","1466125205.56112"
"MOBI.KE","45","0.08","1466125205.56112"
"NE.KE","188","0.32","1466125205.56112"
"OR.KE","1788","3.05","1466125205.56112"
"AC.KE","804","1.37","1466132405.7129"
"GO.KE","367","0.63","1466132405.7129"
"SC.KE","589","1.00","1466132405.7129"
"CO.KE","54413","92.77","1466132405.7129"
"INFO.KE","125","0.21","1466132405.7129"
"ME.KE","333","0.57","1466132405.7129"
"MOBI.KE","45","0.08","1466132405.7129"
"NE.KE","188","0.32","1466132405.7129"
"OR.KE","1788","3.05","1466132405.7129"
"AC.KE","804","1.37","1466139606.08951"
"GO.KE","367","0.63","1466139606.08951"
"SC.KE","589","1.00","1466139606.08951"
"CO.KE","54414","92.77","1466139606.08951"
"INFO.KE","125","0.21","1466139606.08951"
"ME.KE","333","0.57","1466139606.08951"
"MOBI.KE","45","0.08","1466139606.08951"
"NE.KE","188","0.32","1466139606.08951"
"OR.KE","1788","3.05","1466139606.08951"
"AC.KE","804","1.37","1466146806.61481"
"GO.KE","367","0.63","1466146806.61481"
"SC.KE","589","1.00","1466146806.61481"
"CO.KE","54431","92.77","1466146806.61481"
"INFO.KE","125","0.21","1466146806.61481"
"ME.KE","333","0.57","1466146806.61481"
"MOBI.KE","45","0.08","1466146806.61481"
"NE.KE","188","0.32","1466146806.61481"
"OR.KE","1788","3.05","1466146806.61481"
"AC.KE","804","1.37","1466154006.62288"
"GO.KE","367","0.63","1466154006.62288"
"SC.KE","589","1.00","1466154006.62288"
"CO.KE","54442","92.78","1466154006.62288"
"INFO.KE","125","0.21","1466154006.62288"
"ME.KE","333","0.57","1466154006.62288"
"MOBI.KE","45","0.08","1466154006.62288"
"NE.KE","188","0.32","1466154006.62288"
"OR.KE","1788","3.05","1466154006.62288"
"AC.KE","804","1.37","1466161205.77088"
"GO.KE","367","0.63","1466161205.77088"
"SC.KE","589","1.00","1466161205.77088"
"CO.KE","54459","92.78","1466161205.77088"
"INFO.KE","125","0.21","1466161205.77088"
"ME.KE","333","0.57","1466161205.77088"
"MOBI.KE","45","0.08","1466161205.77088"
"NE.KE","189","0.32","1466161205.77088"
"OR.KE","1788","3.05","1466161205.77088"
"AC.KE","803","1.37","1466168406.25185"
"GO.KE","367","0.63","1466168406.25185"
"SC.KE","590","1.00","1466168406.25185"
"CO.KE","54473","92.78","1466168406.25185"
"INFO.KE","125","0.21","1466168406.25185"
"ME.KE","333","0.57","1466168406.25185"
"MOBI.KE","45","0.08","1466168406.25185"
"NE.KE","189","0.32","1466168406.25185"
"OR.KE","1788","3.05","1466168406.25185"
"AC.KE","803","1.37","1466175606.54593"
"GO.KE","367","0.62","1466175606.54593"
"SC.KE","590","1.00","1466175606.54593"
"CO.KE","54485","92.78","1466175606.54593"
"INFO.KE","125","0.21","1466175606.54593"
"ME.KE","334","0.57","1466175606.54593"
"MOBI.KE","45","0.08","1466175606.54593"
"NE.KE","190","0.32","1466175606.54593"
"OR.KE","1788","3.04","1466175606.54593"
"AC.KE","803","1.37","1466182806.27863"
"GO.KE","367","0.62","1466182806.27863"
"SC.KE","590","1.00","1466182806.27863"
"CO.KE","54490","92.78","1466182806.27863"
"INFO.KE","125","0.21","1466182806.27863"
"ME.KE","334","0.57","1466182806.27863"
"MOBI.KE","45","0.08","1466182806.27863"
"NE.KE","190","0.32","1466182806.27863"
"OR.KE","1788","3.04","1466182806.27863"
"AC.KE","803","1.37","1466190005.9426"
"GO.KE","367","0.62","1466190005.9426"
"SC.KE","590","1.00","1466190005.9426"
"CO.KE","54495","92.78","1466190005.9426"
"INFO.KE","125","0.21","1466190005.9426"
"ME.KE","334","0.57","1466190005.9426"
"MOBI.KE","45","0.08","1466190005.9426"
"NE.KE","190","0.32","1466190005.9426"
"OR.KE","1788","3.04","1466190005.9426"
"AC.KE","804","1.37","1466197206.19468"
"GO.KE","367","0.62","1466197206.19468"
"SC.KE","590","1.00","1466197206.19468"
"CO.KE","54499","92.78","1466197206.19468"
"INFO.KE","125","0.21","1466197206.19468"
"ME.KE","334","0.57","1466197206.19468"
"MOBI.KE","45","0.08","1466197206.19468"
"NE.KE","190","0.32","1466197206.19468"
"OR.KE","1788","3.04","1466197206.19468"
"AC.KE","804","1.37","1466204405.75239"
"GO.KE","367","0.62","1466204405.75239"
"SC.KE","590","1.00","1466204405.75239"
"CO.KE","54499","92.78","1466204405.75239"
"INFO.KE","125","0.21","1466204405.75239"
"ME.KE","334","0.57","1466204405.75239"
"MOBI.KE","45","0.08","1466204405.75239"
"NE.KE","190","0.32","1466204405.75239"
"OR.KE","1788","3.04","1466204405.75239"
"AC.KE","804","1.37","1466211606.55175"
"GO.KE","367","0.62","1466211606.55175"
"SC.KE","590","1.00","1466211606.55175"
"CO.KE","54499","92.78","1466211606.55175"
"INFO.KE","125","0.21","1466211606.55175"
"ME.KE","334","0.57","1466211606.55175"
"MOBI.KE","45","0.08","1466211606.55175"
"NE.KE","190","0.32","1466211606.55175"
"OR.KE","1788","3.04","1466211606.55175"
"AC.KE","804","1.37","1466218806.41025"
"GO.KE","367","0.63","1466218806.41025"
"SC.KE","590","1.01","1466218806.41025"
"CO.KE","54443","92.77","1466218806.41025"
"INFO.KE","125","0.21","1466218806.41025"
"ME.KE","333","0.57","1466218806.41025"
"MOBI.KE","45","0.08","1466218806.41025"
"NE.KE","190","0.32","1466218806.41025"
"OR.KE","1787","3.05","1466218806.41025"
"AC.KE","804","1.37","1466226006.17626"
"GO.KE","367","0.63","1466226006.17626"
"SC.KE","590","1.01","1466226006.17626"
"CO.KE","54445","92.77","1466226006.17626"
"INFO.KE","125","0.21","1466226006.17626"
"ME.KE","333","0.57","1466226006.17626"
"MOBI.KE","45","0.08","1466226006.17626"
"NE.KE","190","0.32","1466226006.17626"
"OR.KE","1787","3.05","1466226006.17626"
"AC.KE","804","1.37","1466233206.45695"
"GO.KE","367","0.63","1466233206.45695"
"SC.KE","590","1.01","1466233206.45695"
"CO.KE","54455","92.77","1466233206.45695"
"INFO.KE","125","0.21","1466233206.45695"
"ME.KE","333","0.57","1466233206.45695"
"MOBI.KE","45","0.08","1466233206.45695"
"NE.KE","190","0.32","1466233206.45695"
"OR.KE","1787","3.04","1466233206.45695"
"AC.KE","804","1.37","1466240405.97129"
"GO.KE","367","0.63","1466240405.97129"
"SC.KE","590","1.00","1466240405.97129"
"CO.KE","54474","92.78","1466240405.97129"
"INFO.KE","125","0.21","1466240405.97129"
"ME.KE","333","0.57","1466240405.97129"
"MOBI.KE","45","0.08","1466240405.97129"
"NE.KE","190","0.32","1466240405.97129"
"OR.KE","1787","3.04","1466240405.97129"
"AC.KE","804","1.37","1466247605.96443"
"GO.KE","367","0.62","1466247605.96443"
"SC.KE","590","1.00","1466247605.96443"
"CO.KE","54483","92.78","1466247605.96443"
"INFO.KE","125","0.21","1466247605.96443"
"ME.KE","333","0.57","1466247605.96443"
"MOBI.KE","45","0.08","1466247605.96443"
"NE.KE","190","0.32","1466247605.96443"
"OR.KE","1787","3.04","1466247605.96443"
"AC.KE","804","1.37","1466254805.82346"
"GO.KE","367","0.62","1466254805.82346"
"SC.KE","590","1.00","1466254805.82346"
"CO.KE","54485","92.78","1466254805.82346"
"INFO.KE","125","0.21","1466254805.82346"
"ME.KE","333","0.57","1466254805.82346"
"MOBI.KE","45","0.08","1466254805.82346"
"NE.KE","190","0.32","1466254805.82346"
"OR.KE","1787","3.04","1466254805.82346"
"AC.KE","804","1.37","1466262006.07135"
"GO.KE","367","0.62","1466262006.07135"
"SC.KE","590","1.00","1466262006.07135"
"CO.KE","54488","92.78","1466262006.07135"
"INFO.KE","125","0.21","1466262006.07135"
"ME.KE","333","0.57","1466262006.07135"
"MOBI.KE","45","0.08","1466262006.07135"
"NE.KE","190","0.32","1466262006.07135"
"OR.KE","1787","3.04","1466262006.07135"
"AC.KE","804","1.37","1466269206.22227"
"GO.KE","367","0.62","1466269206.22227"
"SC.KE","590","1.00","1466269206.22227"
"CO.KE","54488","92.78","1466269206.22227"
"INFO.KE","125","0.21","1466269206.22227"
"ME.KE","333","0.57","1466269206.22227"
"MOBI.KE","45","0.08","1466269206.22227"
"NE.KE","190","0.32","1466269206.22227"
"OR.KE","1787","3.04","1466269206.22227"
"AC.KE","804","1.37","1466276405.92743"
"GO.KE","367","0.62","1466276405.92743"
"SC.KE","590","1.00","1466276405.92743"
"CO.KE","54491","92.78","1466276405.92743"
"INFO.KE","125","0.21","1466276405.92743"
"ME.KE","333","0.57","1466276405.92743"
"MOBI.KE","45","0.08","1466276405.92743"
