"type","number","percent","time"
"SC.KE","687","1.13","1472295606.54481"
"CO.KE","56612","92.75","1472295606.54481"
"INFO.KE","137","0.22","1472295606.54481"
"ME.KE","350","0.57","1472295606.54481"
"MOBI.KE","47","0.08","1472295606.54481"
"NE.KE","206","0.34","1472295606.54481"
"OR.KE","1834","3.00","1472295606.54481"
"AC.KE","786","1.29","1472302806.4865"
"GO.KE","377","0.62","1472302806.4865"
"SC.KE","687","1.13","1472302806.4865"
"CO.KE","56615","92.75","1472302806.4865"
"INFO.KE","137","0.22","1472302806.4865"
"ME.KE","350","0.57","1472302806.4865"
"MOBI.KE","47","0.08","1472302806.4865"
"NE.KE","206","0.34","1472302806.4865"
"OR.KE","1834","3.00","1472302806.4865"
"AC.KE","786","1.29","1472310006.0286"
"GO.KE","377","0.62","1472310006.0286"
"SC.KE","687","1.13","1472310006.0286"
"CO.KE","56618","92.75","1472310006.0286"
"INFO.KE","137","0.22","1472310006.0286"
"ME.KE","350","0.57","1472310006.0286"
"MOBI.KE","47","0.08","1472310006.0286"
"NE.KE","206","0.34","1472310006.0286"
"OR.KE","1834","3.00","1472310006.0286"
"AC.KE","786","1.29","1472317208.23149"
"GO.KE","377","0.62","1472317208.23149"
"SC.KE","687","1.13","1472317208.23149"
"CO.KE","56618","92.75","1472317208.23149"
"INFO.KE","137","0.22","1472317208.23149"
"ME.KE","350","0.57","1472317208.23149"
"MOBI.KE","47","0.08","1472317208.23149"
"NE.KE","206","0.34","1472317208.23149"
"OR.KE","1834","3.00","1472317208.23149"
"AC.KE","786","1.29","1472324406.16388"
"GO.KE","377","0.62","1472324406.16388"
"SC.KE","687","1.13","1472324406.16388"
"CO.KE","56618","92.75","1472324406.16388"
"INFO.KE","137","0.22","1472324406.16388"
"ME.KE","350","0.57","1472324406.16388"
"MOBI.KE","47","0.08","1472324406.16388"
"NE.KE","206","0.34","1472324406.16388"
"OR.KE","1834","3.00","1472324406.16388"
"AC.KE","786","1.29","1472331606.94622"
"GO.KE","377","0.62","1472331606.94622"
"SC.KE","687","1.13","1472331606.94622"
"CO.KE","56622","92.75","1472331606.94622"
"INFO.KE","137","0.22","1472331606.94622"
"ME.KE","350","0.57","1472331606.94622"
"MOBI.KE","47","0.08","1472331606.94622"
"NE.KE","206","0.34","1472331606.94622"
"OR.KE","1835","3.01","1472331606.94622"
"AC.KE","786","1.29","1472338807.05902"
"GO.KE","377","0.62","1472338807.05902"
"SC.KE","687","1.13","1472338807.05902"
"CO.KE","56622","92.75","1472338807.05902"
"INFO.KE","137","0.22","1472338807.05902"
"ME.KE","350","0.57","1472338807.05902"
"MOBI.KE","47","0.08","1472338807.05902"
"NE.KE","206","0.34","1472338807.05902"
"OR.KE","1835","3.01","1472338807.05902"
"AC.KE","786","1.29","1472346006.09253"
"GO.KE","377","0.62","1472346006.09253"
"SC.KE","687","1.13","1472346006.09253"
"CO.KE","56622","92.75","1472346006.09253"
"INFO.KE","137","0.22","1472346006.09253"
"ME.KE","350","0.57","1472346006.09253"
"MOBI.KE","47","0.08","1472346006.09253"
"NE.KE","206","0.34","1472346006.09253"
"OR.KE","1835","3.01","1472346006.09253"
"AC.KE","786","1.29","1472353206.11636"
"GO.KE","376","0.62","1472353206.11636"
"SC.KE","687","1.13","1472353206.11636"
"CO.KE","56581","92.75","1472353206.11636"
"INFO.KE","137","0.22","1472353206.11636"
"ME.KE","350","0.57","1472353206.11636"
"MOBI.KE","47","0.08","1472353206.11636"
"NE.KE","206","0.34","1472353206.11636"
"OR.KE","1832","3.00","1472353206.11636"
"AC.KE","786","1.29","1472360406.5129"
"GO.KE","376","0.62","1472360406.5129"
"SC.KE","687","1.13","1472360406.5129"
"CO.KE","56582","92.75","1472360406.5129"
"INFO.KE","137","0.22","1472360406.5129"
"ME.KE","350","0.57","1472360406.5129"
"MOBI.KE","47","0.08","1472360406.5129"
"NE.KE","206","0.34","1472360406.5129"
"OR.KE","1832","3.00","1472360406.5129"
"AC.KE","786","1.29","1472367606.16449"
"GO.KE","376","0.62","1472367606.16449"
"SC.KE","687","1.13","1472367606.16449"
"CO.KE","56582","92.75","1472367606.16449"
"INFO.KE","137","0.22","1472367606.16449"
"ME.KE","350","0.57","1472367606.16449"
"MOBI.KE","47","0.08","1472367606.16449"
"NE.KE","206","0.34","1472367606.16449"
"OR.KE","1832","3.00","1472367606.16449"
"AC.KE","786","1.29","1472374806.13433"
"GO.KE","376","0.62","1472374806.13433"
"SC.KE","687","1.13","1472374806.13433"
"CO.KE","56584","92.75","1472374806.13433"
"INFO.KE","137","0.22","1472374806.13433"
"ME.KE","350","0.57","1472374806.13433"
"MOBI.KE","47","0.08","1472374806.13433"
"NE.KE","206","0.34","1472374806.13433"
"OR.KE","1832","3.00","1472374806.13433"
"AC.KE","786","1.29","1472382006.36761"
"GO.KE","376","0.62","1472382006.36761"
"SC.KE","687","1.13","1472382006.36761"
"CO.KE","56586","92.75","1472382006.36761"
"INFO.KE","137","0.22","1472382006.36761"
"ME.KE","350","0.57","1472382006.36761"
"MOBI.KE","47","0.08","1472382006.36761"
"NE.KE","206","0.34","1472382006.36761"
"OR.KE","1832","3.00","1472382006.36761"
"AC.KE","786","1.29","1472389207.42513"
"GO.KE","376","0.62","1472389207.42513"
"SC.KE","687","1.13","1472389207.42513"
"CO.KE","56588","92.75","1472389207.42513"
"INFO.KE","137","0.22","1472389207.42513"
"ME.KE","350","0.57","1472389207.42513"
"MOBI.KE","47","0.08","1472389207.42513"
"NE.KE","206","0.34","1472389207.42513"
"OR.KE","1832","3.00","1472389207.42513"
"AC.KE","786","1.29","1472396406.01267"
"GO.KE","376","0.62","1472396406.01267"
"SC.KE","687","1.13","1472396406.01267"
"CO.KE","56591","92.75","1472396406.01267"
"INFO.KE","137","0.22","1472396406.01267"
"ME.KE","350","0.57","1472396406.01267"
"MOBI.KE","47","0.08","1472396406.01267"
"NE.KE","206","0.34","1472396406.01267"
"OR.KE","1832","3.00","1472396406.01267"
"AC.KE","786","1.29","1472403606.83214"
"GO.KE","376","0.62","1472403606.83214"
"SC.KE","687","1.13","1472403606.83214"
"CO.KE","56591","92.75","1472403606.83214"
"INFO.KE","137","0.22","1472403606.83214"
"ME.KE","350","0.57","1472403606.83214"
"MOBI.KE","47","0.08","1472403606.83214"
"NE.KE","206","0.34","1472403606.83214"
"OR.KE","1832","3.00","1472403606.83214"
"AC.KE","786","1.29","1472410806.25163"
"GO.KE","376","0.62","1472410806.25163"
"SC.KE","687","1.13","1472410806.25163"
"CO.KE","56594","92.75","1472410806.25163"
"INFO.KE","137","0.22","1472410806.25163"
"ME.KE","350","0.57","1472410806.25163"
"MOBI.KE","47","0.08","1472410806.25163"
"NE.KE","206","0.34","1472410806.25163"
"OR.KE","1832","3.00","1472410806.25163"
"AC.KE","786","1.29","1472418006.66886"
"GO.KE","376","0.62","1472418006.66886"
"SC.KE","687","1.13","1472418006.66886"
"CO.KE","56594","92.75","1472418006.66886"
"INFO.KE","137","0.22","1472418006.66886"
"ME.KE","350","0.57","1472418006.66886"
"MOBI.KE","47","0.08","1472418006.66886"
"NE.KE","206","0.34","1472418006.66886"
"OR.KE","1833","3.00","1472418006.66886"
"AC.KE","786","1.29","1472425206.91399"
"GO.KE","376","0.62","1472425206.91399"
"SC.KE","687","1.13","1472425206.91399"
"CO.KE","56594","92.75","1472425206.91399"
"INFO.KE","137","0.22","1472425206.91399"
"ME.KE","350","0.57","1472425206.91399"
"MOBI.KE","47","0.08","1472425206.91399"
"NE.KE","206","0.34","1472425206.91399"
"OR.KE","1833","3.00","1472425206.91399"
"AC.KE","786","1.29","1472432406.32538"
"GO.KE","376","0.62","1472432406.32538"
"SC.KE","687","1.13","1472432406.32538"
"CO.KE","56594","92.75","1472432406.32538"
"INFO.KE","137","0.22","1472432406.32538"
"ME.KE","350","0.57","1472432406.32538"
"MOBI.KE","47","0.08","1472432406.32538"
"NE.KE","206","0.34","1472432406.32538"
"OR.KE","1833","3.00","1472432406.32538"
"AC.KE","786","1.29","1472439606.89228"
"GO.KE","376","0.62","1472439606.89228"
"SC.KE","687","1.13","1472439606.89228"
"CO.KE","56546","92.75","1472439606.89228"
"INFO.KE","137","0.22","1472439606.89228"
"ME.KE","350","0.57","1472439606.89228"
"MOBI.KE","47","0.08","1472439606.89228"
"NE.KE","205","0.34","1472439606.89228"
"OR.KE","1833","3.01","1472439606.89228"
"AC.KE","786","1.29","1472446810.49667"
"GO.KE","376","0.62","1472446810.49667"
"SC.KE","687","1.13","1472446810.49667"
"CO.KE","56546","92.75","1472446810.49667"
"INFO.KE","137","0.22","1472446810.49667"
"ME.KE","350","0.57","1472446810.49667"
"MOBI.KE","47","0.08","1472446810.49667"
"NE.KE","205","0.34","1472446810.49667"
"OR.KE","1833","3.01","1472446810.49667"
"AC.KE","786","1.29","1472454006.14419"
"GO.KE","376","0.62","1472454006.14419"
"SC.KE","687","1.13","1472454006.14419"
"CO.KE","56551","92.75","1472454006.14419"
"INFO.KE","137","0.22","1472454006.14419"
"ME.KE","350","0.57","1472454006.14419"
"MOBI.KE","47","0.08","1472454006.14419"
"NE.KE","205","0.34","1472454006.14419"
"OR.KE","1833","3.01","1472454006.14419"
"AC.KE","786","1.29","1472461206.07382"
"GO.KE","376","0.62","1472461206.07382"
"SC.KE","687","1.13","1472461206.07382"
"CO.KE","56560","92.75","1472461206.07382"
"INFO.KE","137","0.22","1472461206.07382"
"ME.KE","350","0.57","1472461206.07382"
"MOBI.KE","47","0.08","1472461206.07382"
"NE.KE","205","0.34","1472461206.07382"
"OR.KE","1834","3.01","1472461206.07382"
"AC.KE","786","1.29","1472468407.94093"
"GO.KE","376","0.62","1472468407.94093"
"SC.KE","687","1.13","1472468407.94093"
"CO.KE","56576","92.75","1472468407.94093"
"INFO.KE","137","0.22","1472468407.94093"
"ME.KE","350","0.57","1472468407.94093"
"MOBI.KE","47","0.08","1472468407.94093"
"NE.KE","205","0.34","1472468407.94093"
"OR.KE","1834","3.01","1472468407.94093"
"AC.KE","786","1.29","1472475607.1195"
"GO.KE","376","0.62","1472475607.1195"
"SC.KE","687","1.13","1472475607.1195"
"CO.KE","56587","92.75","1472475607.1195"
"INFO.KE","137","0.22","1472475607.1195"
"ME.KE","350","0.57","1472475607.1195"
"MOBI.KE","47","0.08","1472475607.1195"
"NE.KE","205","0.34","1472475607.1195"
"OR.KE","1834","3.01","1472475607.1195"
"AC.KE","786","1.29","1472482808.32531"
"GO.KE","376","0.62","1472482808.32531"
"SC.KE","687","1.13","1472482808.32531"
"CO.KE","56602","92.75","1472482808.32531"
"INFO.KE","137","0.22","1472482808.32531"
"ME.KE","350","0.57","1472482808.32531"
"MOBI.KE","47","0.08","1472482808.32531"
"NE.KE","207","0.34","1472482808.32531"
"OR.KE","1835","3.01","1472482808.32531"
"AC.KE","786","1.29","1472490006.5241"
"GO.KE","376","0.62","1472490006.5241"
"SC.KE","687","1.13","1472490006.5241"
"CO.KE","56614","92.75","1472490006.5241"
"INFO.KE","137","0.22","1472490006.5241"
"ME.KE","350","0.57","1472490006.5241"
"MOBI.KE","47","0.08","1472490006.5241"
"NE.KE","207","0.34","1472490006.5241"
"OR.KE","1835","3.01","1472490006.5241"
"AC.KE","786","1.29","1472497207.11151"
"GO.KE","376","0.62","1472497207.11151"
"SC.KE","687","1.13","1472497207.11151"
"CO.KE","56620","92.75","1472497207.11151"
"INFO.KE","137","0.22","1472497207.11151"
"ME.KE","350","0.57","1472497207.11151"
"MOBI.KE","47","0.08","1472497207.11151"
"NE.KE","207","0.34","1472497207.11151"
"OR.KE","1836","3.01","1472497207.11151"
"AC.KE","786","1.29","1472504406.26131"
"GO.KE","376","0.62","1472504406.26131"
"SC.KE","687","1.13","1472504406.26131"
"CO.KE","56625","92.75","1472504406.26131"
"INFO.KE","137","0.22","1472504406.26131"
"ME.KE","350","0.57","1472504406.26131"
"MOBI.KE","47","0.08","1472504406.26131"
"NE.KE","207","0.34","1472504406.26131"
"OR.KE","1836","3.01","1472504406.26131"
"AC.KE","786","1.29","1472511607.18009"
"GO.KE","376","0.62","1472511607.18009"
"SC.KE","687","1.13","1472511607.18009"
"CO.KE","56625","92.75","1472511607.18009"
"INFO.KE","137","0.22","1472511607.18009"
"ME.KE","350","0.57","1472511607.18009"
"MOBI.KE","47","0.08","1472511607.18009"
"NE.KE","207","0.34","1472511607.18009"
"OR.KE","1836","3.01","1472511607.18009"
"AC.KE","786","1.29","1472518806.7639"
"GO.KE","376","0.62","1472518806.7639"
"SC.KE","687","1.13","1472518806.7639"
"CO.KE","56625","92.75","1472518806.7639"
"INFO.KE","137","0.22","1472518806.7639"
"ME.KE","350","0.57","1472518806.7639"
"MOBI.KE","47","0.08","1472518806.7639"
"NE.KE","207","0.34","1472518806.7639"
"OR.KE","1836","3.01","1472518806.7639"
"AC.KE","786","1.29","1472526006.66937"
"GO.KE","376","0.62","1472526006.66937"
"SC.KE","687","1.13","1472526006.66937"
"CO.KE","56569","92.74","1472526006.66937"
"INFO.KE","137","0.22","1472526006.66937"
"ME.KE","350","0.57","1472526006.66937"
"MOBI.KE","47","0.08","1472526006.66937"
"NE.KE","207","0.34","1472526006.66937"
"OR.KE","1836","3.01","1472526006.66937"
"AC.KE","786","1.29","1472533209.35357"
"GO.KE","376","0.62","1472533209.35357"
"SC.KE","687","1.13","1472533209.35357"
"CO.KE","56570","92.74","1472533209.35357"
"INFO.KE","137","0.22","1472533209.35357"
"ME.KE","350","0.57","1472533209.35357"
"MOBI.KE","47","0.08","1472533209.35357"
"NE.KE","207","0.34","1472533209.35357"
"OR.KE","1836","3.01","1472533209.35357"
"AC.KE","786","1.29","1472540406.51448"
"GO.KE","376","0.62","1472540406.51448"
"SC.KE","688","1.13","1472540406.51448"
"CO.KE","56577","92.74","1472540406.51448"
"INFO.KE","137","0.22","1472540406.51448"
"ME.KE","350","0.57","1472540406.51448"
"MOBI.KE","47","0.08","1472540406.51448"
"NE.KE","207","0.34","1472540406.51448"
"OR.KE","1836","3.01","1472540406.51448"
"AC.KE","786","1.29","1472547606.72854"
"GO.KE","376","0.62","1472547606.72854"
"SC.KE","688","1.13","1472547606.72854"
"CO.KE","56589","92.74","1472547606.72854"
"INFO.KE","137","0.22","1472547606.72854"
"ME.KE","350","0.57","1472547606.72854"
"MOBI.KE","47","0.08","1472547606.72854"
"NE.KE","207","0.34","1472547606.72854"
"OR.KE","1836","3.01","1472547606.72854"
"AC.KE","786","1.29","1472554809.46201"
"GO.KE","376","0.62","1472554809.46201"
"SC.KE","688","1.13","1472554809.46201"
"CO.KE","56597","92.75","1472554809.46201"
"INFO.KE","137","0.22","1472554809.46201"
"ME.KE","350","0.57","1472554809.46201"
"MOBI.KE","47","0.08","1472554809.46201"
"NE.KE","207","0.34","1472554809.46201"
"OR.KE","1836","3.01","1472554809.46201"
"AC.KE","787","1.29","1472562007.22147"
"GO.KE","376","0.62","1472562007.22147"
"SC.KE","688","1.13","1472562007.22147"
"CO.KE","56613","92.74","1472562007.22147"
"INFO.KE","137","0.22","1472562007.22147"
"ME.KE","351","0.58","1472562007.22147"
"MOBI.KE","47","0.08","1472562007.22147"
"NE.KE","207","0.34","1472562007.22147"
"OR.KE","1836","3.01","1472562007.22147"
"AC.KE","787","1.29","1472569206.4704"
"GO.KE","376","0.62","1472569206.4704"
"SC.KE","688","1.13","1472569206.4704"
"CO.KE","56637","92.75","1472569206.4704"
"INFO.KE","137","0.22","1472569206.4704"
"ME.KE","351","0.57","1472569206.4704"
"MOBI.KE","47","0.08","1472569206.4704"
"NE.KE","207","0.34","1472569206.4704"
"OR.KE","1837","3.01","1472569206.4704"
"AC.KE","787","1.29","1472576406.85413"
"GO.KE","376","0.62","1472576406.85413"
"SC.KE","688","1.13","1472576406.85413"
"CO.KE","56658","92.75","1472576406.85413"
"INFO.KE","137","0.22","1472576406.85413"
"ME.KE","351","0.57","1472576406.85413"
"MOBI.KE","47","0.08","1472576406.85413"
"NE.KE","207","0.34","1472576406.85413"
"OR.KE","1837","3.01","1472576406.85413"
"AC.KE","787","1.29","1472583606.27247"
"GO.KE","376","0.62","1472583606.27247"
"SC.KE","688","1.13","1472583606.27247"
"CO.KE","56684","92.75","1472583606.27247"
"INFO.KE","137","0.22","1472583606.27247"
"ME.KE","351","0.57","1472583606.27247"
"MOBI.KE","47","0.08","1472583606.27247"
"NE.KE","207","0.34","1472583606.27247"
"OR.KE","1837","3.01","1472583606.27247"
"AC.KE","787","1.29","1472590807.35202"
"GO.KE","376","0.62","1472590807.35202"
"SC.KE","688","1.13","1472590807.35202"
"CO.KE","56686","92.75","1472590807.35202"
"INFO.KE","137","0.22","1472590807.35202"
"ME.KE","351","0.57","1472590807.35202"
"MOBI.KE","47","0.08","1472590807.35202"
"NE.KE","207","0.34","1472590807.35202"
"OR.KE","1837","3.01","1472590807.35202"
"AC.KE","787","1.29","1472598007.25372"
"GO.KE","376","0.62","1472598007.25372"
"SC.KE","688","1.13","1472598007.25372"
"CO.KE","56687","92.75","1472598007.25372"
"INFO.KE","137","0.22","1472598007.25372"
"ME.KE","351","0.57","1472598007.25372"
"MOBI.KE","47","0.08","1472598007.25372"
"NE.KE","207","0.34","1472598007.25372"
"OR.KE","1837","3.01","1472598007.25372"
"AC.KE","787","1.29","1472605207.06752"
"GO.KE","376","0.62","1472605207.06752"
"SC.KE","688","1.13","1472605207.06752"
"CO.KE","56687","92.75","1472605207.06752"
"INFO.KE","137","0.22","1472605207.06752"
"ME.KE","351","0.57","1472605207.06752"
"MOBI.KE","47","0.08","1472605207.06752"
"NE.KE","207","0.34","1472605207.06752"
"OR.KE","1837","3.01","1472605207.06752"
"AC.KE","786","1.29","1472612406.76432"
"GO.KE","376","0.62","1472612406.76432"
"SC.KE","688","1.13","1472612406.76432"
"CO.KE","56639","92.75","1472612406.76432"
"INFO.KE","137","0.22","1472612406.76432"
"ME.KE","351","0.57","1472612406.76432"
"MOBI.KE","47","0.08","1472612406.76432"
"NE.KE","207","0.34","1472612406.76432"
"OR.KE","1836","3.01","1472612406.76432"
"AC.KE","786","1.29","1472619606.73233"
"GO.KE","376","0.62","1472619606.73233"
"SC.KE","688","1.13","1472619606.73233"
"CO.KE","56642","92.75","1472619606.73233"
"INFO.KE","137","0.22","1472619606.73233"
"ME.KE","351","0.57","1472619606.73233"
"MOBI.KE","47","0.08","1472619606.73233"
"NE.KE","207","0.34","1472619606.73233"
"OR.KE","1836","3.01","1472619606.73233"
"AC.KE","786","1.29","1472626807.11263"
"GO.KE","376","0.62","1472626807.11263"
"SC.KE","688","1.13","1472626807.11263"
"CO.KE","56656","92.75","1472626807.11263"
"INFO.KE","137","0.22","1472626807.11263"
"ME.KE","351","0.57","1472626807.11263"
"MOBI.KE","47","0.08","1472626807.11263"
"NE.KE","207","0.34","1472626807.11263"
"OR.KE","1836","3.01","1472626807.11263"
"AC.KE","786","1.29","1472634005.99181"
"GO.KE","376","0.62","1472634005.99181"
"SC.KE","689","1.13","1472634005.99181"
"CO.KE","56668","92.75","1472634005.99181"
"INFO.KE","137","0.22","1472634005.99181"
"ME.KE","351","0.57","1472634005.99181"
"MOBI.KE","47","0.08","1472634005.99181"
"NE.KE","207","0.34","1472634005.99181"
"OR.KE","1836","3.01","1472634005.99181"
"AC.KE","786","1.29","1472641207.98239"
"GO.KE","376","0.62","1472641207.98239"
"SC.KE","689","1.13","1472641207.98239"
"CO.KE","56689","92.75","1472641207.98239"
"INFO.KE","137","0.22","1472641207.98239"
"ME.KE","351","0.57","1472641207.98239"
"MOBI.KE","47","0.08","1472641207.98239"
"NE.KE","207","0.34","1472641207.98239"
"OR.KE","1837","3.01","1472641207.98239"
"AC.KE","786","1.29","1472648407.09646"
"GO.KE","376","0.62","1472648407.09646"
"SC.KE","690","1.13","1472648407.09646"
"CO.KE","56701","92.74","1472648407.09646"
"INFO.KE","137","0.22","1472648407.09646"
"ME.KE","352","0.58","1472648407.09646"
"MOBI.KE","47","0.08","1472648407.09646"
"NE.KE","208","0.34","1472648407.09646"
"OR.KE","1840","3.01","1472648407.09646"
"AC.KE","786","1.29","1472655606.80497"
"GO.KE","376","0.61","1472655606.80497"
"SC.KE","690","1.13","1472655606.80497"
"CO.KE","56716","92.75","1472655606.80497"
"INFO.KE","137","0.22","1472655606.80497"
"ME.KE","352","0.58","1472655606.80497"
"MOBI.KE","47","0.08","1472655606.80497"
"NE.KE","208","0.34","1472655606.80497"
"OR.KE","1840","3.01","1472655606.80497"
"AC.KE","786","1.29","1472662806.42105"
"GO.KE","376","0.61","1472662806.42105"
"SC.KE","690","1.13","1472662806.42105"
"CO.KE","56721","92.75","1472662806.42105"
"INFO.KE","137","0.22","1472662806.42105"
"ME.KE","352","0.58","1472662806.42105"
"MOBI.KE","47","0.08","1472662806.42105"
"NE.KE","208","0.34","1472662806.42105"
"OR.KE","1840","3.01","1472662806.42105"
"AC.KE","786","1.29","1472670007.26947"
"GO.KE","376","0.61","1472670007.26947"
"SC.KE","690","1.13","1472670007.26947"
"CO.KE","56724","92.75","1472670007.26947"
"INFO.KE","137","0.22","1472670007.26947"
"ME.KE","352","0.58","1472670007.26947"
"MOBI.KE","47","0.08","1472670007.26947"
"NE.KE","208","0.34","1472670007.26947"
"OR.KE","1840","3.01","1472670007.26947"
"AC.KE","786","1.28","1472677206.4448"
"GO.KE","376","0.61","1472677206.4448"
"SC.KE","690","1.13","1472677206.4448"
"CO.KE","56732","92.75","1472677206.4448"
"INFO.KE","137","0.22","1472677206.4448"
"ME.KE","352","0.58","1472677206.4448"
"MOBI.KE","47","0.08","1472677206.4448"
"NE.KE","208","0.34","1472677206.4448"
"OR.KE","1840","3.01","1472677206.4448"
"AC.KE","786","1.28","1472684407.25479"
"GO.KE","376","0.61","1472684407.25479"
"SC.KE","690","1.13","1472684407.25479"
"CO.KE","56734","92.75","1472684407.25479"
"INFO.KE","137","0.22","1472684407.25479"
"ME.KE","352","0.58","1472684407.25479"
"MOBI.KE","47","0.08","1472684407.25479"
"NE.KE","208","0.34","1472684407.25479"
"OR.KE","1840","3.01","1472684407.25479"
"AC.KE","786","1.28","1472691607.67802"
"GO.KE","376","0.61","1472691607.67802"
"SC.KE","690","1.13","1472691607.67802"
"CO.KE","56734","92.75","1472691607.67802"
"INFO.KE","137","0.22","1472691607.67802"
"ME.KE","352","0.58","1472691607.67802"
"MOBI.KE","47","0.08","1472691607.67802"
"NE.KE","208","0.34","1472691607.67802"
"OR.KE","1840","3.01","1472691607.67802"
"AC.KE","783","1.28","1472698806.97043"
"GO.KE","376","0.61","1472698806.97043"
"SC.KE","690","1.13","1472698806.97043"
"CO.KE","56711","92.75","1472698806.97043"
"INFO.KE","137","0.22","1472698806.97043"
"ME.KE","352","0.58","1472698806.97043"
"MOBI.KE","47","0.08","1472698806.97043"
"NE.KE","208","0.34","1472698806.97043"
"OR.KE","1837","3.00","1472698806.97043"
"AC.KE","783","1.28","1472706006.50354"
"GO.KE","376","0.61","1472706006.50354"
"SC.KE","691","1.13","1472706006.50354"
"CO.KE","56713","92.75","1472706006.50354"
"INFO.KE","137","0.22","1472706006.50354"
"ME.KE","352","0.58","1472706006.50354"
"MOBI.KE","47","0.08","1472706006.50354"
"NE.KE","208","0.34","1472706006.50354"
"OR.KE","1837","3.00","1472706006.50354"
"AC.KE","783","1.28","1472713206.41606"
"GO.KE","376","0.61","1472713206.41606"
"SC.KE","692","1.13","1472713206.41606"
"CO.KE","56716","92.75","1472713206.41606"
"INFO.KE","137","0.22","1472713206.41606"
"ME.KE","352","0.58","1472713206.41606"
"MOBI.KE","47","0.08","1472713206.41606"
"NE.KE","208","0.34","1472713206.41606"
"OR.KE","1837","3.00","1472713206.41606"
"AC.KE","783","1.28","1472720406.59071"
"GO.KE","376","0.61","1472720406.59071"
"SC.KE","693","1.13","1472720406.59071"
"CO.KE","56732","92.75","1472720406.59071"
"INFO.KE","137","0.22","1472720406.59071"
"ME.KE","352","0.58","1472720406.59071"
"MOBI.KE","47","0.08","1472720406.59071"
"NE.KE","208","0.34","1472720406.59071"
"OR.KE","1837","3.00","1472720406.59071"
"AC.KE","783","1.28","1472727607.07962"
"GO.KE","376","0.61","1472727607.07962"
"SC.KE","693","1.13","1472727607.07962"
"CO.KE","56751","92.75","1472727607.07962"
"INFO.KE","137","0.22","1472727607.07962"
"ME.KE","352","0.58","1472727607.07962"
"MOBI.KE","47","0.08","1472727607.07962"
"NE.KE","208","0.34","1472727607.07962"
"OR.KE","1838","3.00","1472727607.07962"
"AC.KE","783","1.28","1472734807.07472"
"GO.KE","376","0.61","1472734807.07472"
"SC.KE","693","1.13","1472734807.07472"
"CO.KE","56764","92.75","1472734807.07472"
"INFO.KE","137","0.22","1472734807.07472"
"ME.KE","352","0.58","1472734807.07472"
"MOBI.KE","47","0.08","1472734807.07472"
"NE.KE","208","0.34","1472734807.07472"
"OR.KE","1838","3.00","1472734807.07472"
"AC.KE","783","1.28","1472742006.46723"
"GO.KE","376","0.61","1472742006.46723"
"SC.KE","693","1.13","1472742006.46723"
"CO.KE","56784","92.76","1472742006.46723"
"INFO.KE","137","0.22","1472742006.46723"
"ME.KE","352","0.57","1472742006.46723"
"MOBI.KE","47","0.08","1472742006.46723"
"NE.KE","208","0.34","1472742006.46723"
"OR.KE","1838","3.00","1472742006.46723"
"AC.KE","783","1.28","1472749206.4966"
"GO.KE","376","0.61","1472749206.4966"
"SC.KE","693","1.13","1472749206.4966"
"CO.KE","56792","92.76","1472749206.4966"
"INFO.KE","137","0.22","1472749206.4966"
"ME.KE","352","0.57","1472749206.4966"
"MOBI.KE","47","0.08","1472749206.4966"
"NE.KE","208","0.34","1472749206.4966"
"OR.KE","1838","3.00","1472749206.4966"
"AC.KE","783","1.28","1472756407.28589"
"GO.KE","376","0.61","1472756407.28589"
"SC.KE","693","1.13","1472756407.28589"
"CO.KE","56799","92.76","1472756407.28589"
"INFO.KE","137","0.22","1472756407.28589"
"ME.KE","352","0.57","1472756407.28589"
"MOBI.KE","47","0.08","1472756407.28589"
"NE.KE","208","0.34","1472756407.28589"
"OR.KE","1838","3.00","1472756407.28589"
"AC.KE","783","1.28","1472763607.14083"
"GO.KE","376","0.61","1472763607.14083"
"SC.KE","693","1.13","1472763607.14083"
"CO.KE","56803","92.76","1472763607.14083"
"INFO.KE","137","0.22","1472763607.14083"
"ME.KE","352","0.57","1472763607.14083"
"MOBI.KE","47","0.08","1472763607.14083"
"NE.KE","208","0.34","1472763607.14083"
"OR.KE","1838","3.00","1472763607.14083"
"AC.KE","783","1.28","1472770806.59462"
"GO.KE","376","0.61","1472770806.59462"
"SC.KE","693","1.13","1472770806.59462"
"CO.KE","56806","92.76","1472770806.59462"
"INFO.KE","137","0.22","1472770806.59462"
"ME.KE","352","0.57","1472770806.59462"
"MOBI.KE","47","0.08","1472770806.59462"
"NE.KE","208","0.34","1472770806.59462"
"OR.KE","1838","3.00","1472770806.59462"
"AC.KE","783","1.28","1472778006.18247"
"GO.KE","376","0.61","1472778006.18247"
"SC.KE","693","1.13","1472778006.18247"
"CO.KE","56806","92.76","1472778006.18247"
"INFO.KE","137","0.22","1472778006.18247"
"ME.KE","352","0.57","1472778006.18247"
"MOBI.KE","47","0.08","1472778006.18247"
"NE.KE","208","0.34","1472778006.18247"
"OR.KE","1838","3.00","1472778006.18247"
"AC.KE","783","1.28","1472785206.73227"
"GO.KE","376","0.61","1472785206.73227"
"SC.KE","693","1.13","1472785206.73227"
"CO.KE","56792","92.76","1472785206.73227"
"INFO.KE","137","0.22","1472785206.73227"
"ME.KE","352","0.57","1472785206.73227"
"MOBI.KE","47","0.08","1472785206.73227"
"NE.KE","208","0.34","1472785206.73227"
"OR.KE","1837","3.00","1472785206.73227"
"AC.KE","783","1.28","1472792407.32959"
