"details","numbers","time"
"Total domains renewed within 30 Days","2735","1466074806.72643"
"Total domains","58652","1466082006.76101"
"Total domains registered within 24 hours","107","1466082006.76101"
"Total domains registered within 30 Days","2288","1466082006.76101"
"Total domains renewed within 24 Hours","108","1466082006.76101"
"Total domains renewed within 30 Days","2741","1466082006.76101"
"Total domains","58665","1466089205.94502"
"Total domains registered within 24 hours","96","1466089205.94502"
"Total domains registered within 30 Days","2286","1466089205.94502"
"Total domains renewed within 24 Hours","109","1466089205.94502"
"Total domains renewed within 30 Days","2756","1466089205.94502"
"Total domains","58669","1466096405.96683"
"Total domains registered within 24 hours","92","1466096405.96683"
"Total domains registered within 30 Days","2285","1466096405.96683"
"Total domains renewed within 24 Hours","107","1466096405.96683"
"Total domains renewed within 30 Days","2752","1466096405.96683"
"Total domains","58675","1466103606.08564"
"Total domains registered within 24 hours","89","1466103606.08564"
"Total domains registered within 30 Days","2290","1466103606.08564"
"Total domains renewed within 24 Hours","107","1466103606.08564"
"Total domains renewed within 30 Days","2748","1466103606.08564"
"Total domains","58677","1466110806.43098"
"Total domains registered within 24 hours","88","1466110806.43098"
"Total domains registered within 30 Days","2288","1466110806.43098"
"Total domains renewed within 24 Hours","99","1466110806.43098"
"Total domains renewed within 30 Days","2747","1466110806.43098"
"Total domains","58681","1466118005.82773"
"Total domains registered within 24 hours","88","1466118005.82773"
"Total domains registered within 30 Days","2292","1466118005.82773"
"Total domains renewed within 24 Hours","94","1466118005.82773"
"Total domains renewed within 30 Days","2747","1466118005.82773"
"Total domains","58681","1466125205.5656"
"Total domains registered within 24 hours","88","1466125205.5656"
"Total domains registered within 30 Days","2292","1466125205.5656"
"Total domains renewed within 24 Hours","94","1466125205.5656"
"Total domains renewed within 30 Days","2747","1466125205.5656"
"Total domains","58652","1466132405.71766"
"Total domains registered within 24 hours","87","1466132405.71766"
"Total domains registered within 30 Days","2292","1466132405.71766"
"Total domains renewed within 24 Hours","94","1466132405.71766"
"Total domains renewed within 30 Days","2747","1466132405.71766"
"Total domains","58653","1466139606.09439"
"Total domains registered within 24 hours","85","1466139606.09439"
"Total domains registered within 30 Days","2292","1466139606.09439"
"Total domains renewed within 24 Hours","92","1466139606.09439"
"Total domains renewed within 30 Days","2748","1466139606.09439"
"Total domains","58670","1466146806.61973"
"Total domains registered within 24 hours","93","1466146806.61973"
"Total domains registered within 30 Days","2304","1466146806.61973"
"Total domains renewed within 24 Hours","101","1466146806.61973"
"Total domains renewed within 30 Days","2751","1466146806.61973"
"Total domains","58681","1466154006.62929"
"Total domains registered within 24 hours","91","1466154006.62929"
"Total domains registered within 30 Days","2308","1466154006.62929"
"Total domains renewed within 24 Hours","108","1466154006.62929"
"Total domains renewed within 30 Days","2755","1466154006.62929"
"Total domains","58699","1466161205.77567"
"Total domains registered within 24 hours","88","1466161205.77567"
"Total domains registered within 30 Days","2301","1466161205.77567"
"Total domains renewed within 24 Hours","102","1466161205.77567"
"Total domains renewed within 30 Days","2754","1466161205.77567"
"Total domains","58713","1466168406.2565"
"Total domains registered within 24 hours","91","1466168406.2565"
"Total domains registered within 30 Days","2308","1466168406.2565"
"Total domains renewed within 24 Hours","109","1466168406.2565"
"Total domains renewed within 30 Days","2761","1466168406.2565"
"Total domains","58727","1466175606.55101"
"Total domains registered within 24 hours","90","1466175606.55101"
"Total domains registered within 30 Days","2305","1466175606.55101"
"Total domains renewed within 24 Hours","97","1466175606.55101"
"Total domains renewed within 30 Days","2757","1466175606.55101"
"Total domains","58732","1466182806.28278"
"Total domains registered within 24 hours","91","1466182806.28278"
"Total domains registered within 30 Days","2308","1466182806.28278"
"Total domains renewed within 24 Hours","102","1466182806.28278"
"Total domains renewed within 30 Days","2758","1466182806.28278"
"Total domains","58737","1466190005.94722"
"Total domains registered within 24 hours","90","1466190005.94722"
"Total domains registered within 30 Days","2313","1466190005.94722"
"Total domains renewed within 24 Hours","103","1466190005.94722"
"Total domains renewed within 30 Days","2756","1466190005.94722"
"Total domains","58742","1466197206.19967"
"Total domains registered within 24 hours","93","1466197206.19967"
"Total domains registered within 30 Days","2314","1466197206.19967"
"Total domains renewed within 24 Hours","105","1466197206.19967"
"Total domains renewed within 30 Days","2756","1466197206.19967"
"Total domains","58742","1466204405.75714"
"Total domains registered within 24 hours","89","1466204405.75714"
"Total domains registered within 30 Days","2313","1466204405.75714"
"Total domains renewed within 24 Hours","105","1466204405.75714"
"Total domains renewed within 30 Days","2755","1466204405.75714"
"Total domains","58742","1466211606.55644"
"Total domains registered within 24 hours","89","1466211606.55644"
"Total domains registered within 30 Days","2313","1466211606.55644"
"Total domains renewed within 24 Hours","105","1466211606.55644"
"Total domains renewed within 30 Days","2755","1466211606.55644"
"Total domains","58684","1466218806.41519"
"Total domains registered within 24 hours","89","1466218806.41519"
"Total domains registered within 30 Days","2311","1466218806.41519"
"Total domains renewed within 24 Hours","105","1466218806.41519"
"Total domains renewed within 30 Days","2754","1466218806.41519"
"Total domains","58686","1466226006.18122"
"Total domains registered within 24 hours","90","1466226006.18122"
"Total domains registered within 30 Days","2311","1466226006.18122"
"Total domains renewed within 24 Hours","103","1466226006.18122"
"Total domains renewed within 30 Days","2754","1466226006.18122"
"Total domains","58696","1466233206.46141"
"Total domains registered within 24 hours","84","1466233206.46141"
"Total domains registered within 30 Days","2312","1466233206.46141"
"Total domains renewed within 24 Hours","86","1466233206.46141"
"Total domains renewed within 30 Days","2749","1466233206.46141"
"Total domains","58715","1466240405.97599"
"Total domains registered within 24 hours","92","1466240405.97599"
"Total domains registered within 30 Days","2315","1466240405.97599"
"Total domains renewed within 24 Hours","68","1466240405.97599"
"Total domains renewed within 30 Days","2743","1466240405.97599"
"Total domains","58724","1466247605.96894"
"Total domains registered within 24 hours","82","1466247605.96894"
"Total domains registered within 30 Days","2314","1466247605.96894"
"Total domains renewed within 24 Hours","73","1466247605.96894"
"Total domains renewed within 30 Days","2745","1466247605.96894"
"Total domains","58726","1466254805.82836"
"Total domains registered within 24 hours","69","1466254805.82836"
"Total domains registered within 30 Days","2296","1466254805.82836"
"Total domains renewed within 24 Hours","56","1466254805.82836"
"Total domains renewed within 30 Days","2749","1466254805.82836"
"Total domains","58729","1466262006.0754"
"Total domains registered within 24 hours","61","1466262006.0754"
"Total domains registered within 30 Days","2278","1466262006.0754"
