"details","numbers","time"
"Total domains","61067","1472612406.76894"
"Total domains registered within 24 hours","124","1472612406.76894"
"Total domains registered within 30 Days","2199","1472612406.76894"
"Total domains renewed within 24 Hours","93","1472612406.76894"
"Total domains renewed within 30 Days","2373","1472612406.76894"
"Total domains","61070","1472619606.73724"
"Total domains registered within 24 hours","126","1472619606.73724"
"Total domains registered within 30 Days","2200","1472619606.73724"
"Total domains renewed within 24 Hours","94","1472619606.73724"
"Total domains renewed within 30 Days","2373","1472619606.73724"
"Total domains","61084","1472626807.1174"
"Total domains registered within 24 hours","131","1472626807.1174"
"Total domains registered within 30 Days","2204","1472626807.1174"
"Total domains renewed within 24 Hours","93","1472626807.1174"
"Total domains renewed within 30 Days","2379","1472626807.1174"
"Total domains","61097","1472634005.99662"
"Total domains registered within 24 hours","132","1472634005.99662"
"Total domains registered within 30 Days","2207","1472634005.99662"
"Total domains renewed within 24 Hours","100","1472634005.99662"
"Total domains renewed within 30 Days","2371","1472634005.99662"
"Total domains","61119","1472641207.9907"
"Total domains registered within 24 hours","146","1472641207.9907"
"Total domains registered within 30 Days","2210","1472641207.9907"
"Total domains renewed within 24 Hours","98","1472641207.9907"
"Total domains renewed within 30 Days","2364","1472641207.9907"
"Total domains","61137","1472648407.10129"
"Total domains registered within 24 hours","146","1472648407.10129"
"Total domains registered within 30 Days","2214","1472648407.10129"
"Total domains renewed within 24 Hours","92","1472648407.10129"
"Total domains renewed within 30 Days","2370","1472648407.10129"
"Total domains","61152","1472655606.80966"
"Total domains registered within 24 hours","136","1472655606.80966"
"Total domains registered within 30 Days","2214","1472655606.80966"
"Total domains renewed within 24 Hours","90","1472655606.80966"
"Total domains renewed within 30 Days","2367","1472655606.80966"
"Total domains","61157","1472662806.42707"
"Total domains registered within 24 hours","120","1472662806.42707"
"Total domains registered within 30 Days","2203","1472662806.42707"
"Total domains renewed within 24 Hours","91","1472662806.42707"
"Total domains renewed within 30 Days","2370","1472662806.42707"
"Total domains","61160","1472670007.27364"
"Total domains registered within 24 hours","97","1472670007.27364"
"Total domains registered within 30 Days","2198","1472670007.27364"
"Total domains renewed within 24 Hours","89","1472670007.27364"
"Total domains renewed within 30 Days","2369","1472670007.27364"
"Total domains","61168","1472677206.44912"
"Total domains registered within 24 hours","102","1472677206.44912"
"Total domains registered within 30 Days","2202","1472677206.44912"
"Total domains renewed within 24 Hours","90","1472677206.44912"
"Total domains renewed within 30 Days","2363","1472677206.44912"
"Total domains","61170","1472684407.25979"
"Total domains registered within 24 hours","103","1472684407.25979"
"Total domains registered within 30 Days","2201","1472684407.25979"
"Total domains renewed within 24 Hours","91","1472684407.25979"
"Total domains renewed within 30 Days","2365","1472684407.25979"
"Total domains","61170","1472691607.68268"
"Total domains registered within 24 hours","103","1472691607.68268"
"Total domains registered within 30 Days","2201","1472691607.68268"
"Total domains renewed within 24 Hours","91","1472691607.68268"
"Total domains renewed within 30 Days","2365","1472691607.68268"
"Total domains","61141","1472698806.9752"
"Total domains registered within 24 hours","103","1472698806.9752"
"Total domains registered within 30 Days","2201","1472698806.9752"
"Total domains renewed within 24 Hours","92","1472698806.9752"
"Total domains renewed within 30 Days","2365","1472698806.9752"
"Total domains","61144","1472706006.50811"
"Total domains registered within 24 hours","103","1472706006.50811"
"Total domains registered within 30 Days","2200","1472706006.50811"
"Total domains renewed within 24 Hours","92","1472706006.50811"
"Total domains renewed within 30 Days","2366","1472706006.50811"
"Total domains","61148","1472713206.42057"
"Total domains registered within 24 hours","96","1472713206.42057"
"Total domains registered within 30 Days","2193","1472713206.42057"
"Total domains renewed within 24 Hours","89","1472713206.42057"
"Total domains renewed within 30 Days","2359","1472713206.42057"
"Total domains","61165","1472720406.59544"
"Total domains registered within 24 hours","100","1472720406.59544"
"Total domains registered within 30 Days","2195","1472720406.59544"
"Total domains renewed within 24 Hours","92","1472720406.59544"
"Total domains renewed within 30 Days","2358","1472720406.59544"
"Total domains","61185","1472727607.0843"
"Total domains registered within 24 hours","98","1472727607.0843"
"Total domains registered within 30 Days","2198","1472727607.0843"
"Total domains renewed within 24 Hours","97","1472727607.0843"
"Total domains renewed within 30 Days","2368","1472727607.0843"
"Total domains","61198","1472734807.07901"
"Total domains registered within 24 hours","93","1472734807.07901"
"Total domains registered within 30 Days","2190","1472734807.07901"
"Total domains renewed within 24 Hours","97","1472734807.07901"
"Total domains renewed within 30 Days","2364","1472734807.07901"
"Total domains","61218","1472742006.47222"
"Total domains registered within 24 hours","98","1472742006.47222"
"Total domains registered within 30 Days","2198","1472742006.47222"
"Total domains renewed within 24 Hours","93","1472742006.47222"
"Total domains renewed within 30 Days","2347","1472742006.47222"
"Total domains","61226","1472749206.50092"
"Total domains registered within 24 hours","101","1472749206.50092"
"Total domains registered within 30 Days","2201","1472749206.50092"
"Total domains renewed within 24 Hours","90","1472749206.50092"
"Total domains renewed within 30 Days","2348","1472749206.50092"
"Total domains","61233","1472756407.29039"
"Total domains registered within 24 hours","105","1472756407.29039"
"Total domains registered within 30 Days","2202","1472756407.29039"
"Total domains renewed within 24 Hours","89","1472756407.29039"
"Total domains renewed within 30 Days","2345","1472756407.29039"
"Total domains","61237","1472763607.14542"
"Total domains registered within 24 hours","101","1472763607.14542"
"Total domains registered within 30 Days","2204","1472763607.14542"
"Total domains renewed within 24 Hours","90","1472763607.14542"
"Total domains renewed within 30 Days","2347","1472763607.14542"
"Total domains","61240","1472770806.59892"
"Total domains registered within 24 hours","102","1472770806.59892"
"Total domains registered within 30 Days","2207","1472770806.59892"
"Total domains renewed within 24 Hours","88","1472770806.59892"
"Total domains renewed within 30 Days","2340","1472770806.59892"
"Total domains","61240","1472778006.18713"
"Total domains registered within 24 hours","102","1472778006.18713"
"Total domains registered within 30 Days","2207","1472778006.18713"
"Total domains renewed within 24 Hours","89","1472778006.18713"
"Total domains renewed within 30 Days","2336","1472778006.18713"
"Total domains","61225","1472785206.73706"
"Total domains registered within 24 hours","102","1472785206.73706"
"Total domains registered within 30 Days","2208","1472785206.73706"
"Total domains renewed within 24 Hours","88","1472785206.73706"
"Total domains renewed within 30 Days","2336","1472785206.73706"
"Total domains","61226","1472792407.33427"
"Total domains registered within 24 hours","100","1472792407.33427"
"Total domains registered within 30 Days","2208","1472792407.33427"
"Total domains renewed within 24 Hours","87","1472792407.33427"
"Total domains renewed within 30 Days","2333","1472792407.33427"
"Total domains","61237","1472799606.18303"
"Total domains registered within 24 hours","105","1472799606.18303"
"Total domains registered within 30 Days","2211","1472799606.18303"
"Total domains renewed within 24 Hours","86","1472799606.18303"
"Total domains renewed within 30 Days","2332","1472799606.18303"
"Total domains","61253","1472806806.58009"
"Total domains registered within 24 hours","104","1472806806.58009"
"Total domains registered within 30 Days","2205","1472806806.58009"
"Total domains renewed within 24 Hours","88","1472806806.58009"
"Total domains renewed within 30 Days","2333","1472806806.58009"
"Total domains","61270","1472814007.49408"
"Total domains registered within 24 hours","101","1472814007.49408"
"Total domains registered within 30 Days","2205","1472814007.49408"
"Total domains renewed within 24 Hours","69","1472814007.49408"
"Total domains renewed within 30 Days","2323","1472814007.49408"
"Total domains","61285","1472821207.03646"
"Total domains registered within 24 hours","104","1472821207.03646"
"Total domains registered within 30 Days","2201","1472821207.03646"
"Total domains renewed within 24 Hours","71","1472821207.03646"
"Total domains renewed within 30 Days","2332","1472821207.03646"
"Total domains","61293","1472828408.80348"
"Total domains registered within 24 hours","93","1472828408.80348"
"Total domains registered within 30 Days","2185","1472828408.80348"
"Total domains renewed within 24 Hours","76","1472828408.80348"
"Total domains renewed within 30 Days","2329","1472828408.80348"
"Total domains","61298","1472835606.98239"
"Total domains registered within 24 hours","90","1472835606.98239"
"Total domains registered within 30 Days","2176","1472835606.98239"
"Total domains renewed within 24 Hours","76","1472835606.98239"
"Total domains renewed within 30 Days","2330","1472835606.98239"
"Total domains","61300","1472842807.21218"
"Total domains registered within 24 hours","85","1472842807.21218"
"Total domains registered within 30 Days","2174","1472842807.21218"
"Total domains renewed within 24 Hours","75","1472842807.21218"
"Total domains renewed within 30 Days","2330","1472842807.21218"
"Total domains","61301","1472850006.56618"
"Total domains registered within 24 hours","82","1472850006.56618"
"Total domains registered within 30 Days","2173","1472850006.56618"
"Total domains renewed within 24 Hours","73","1472850006.56618"
"Total domains renewed within 30 Days","2326","1472850006.56618"
"Total domains","61301","1472857207.04784"
"Total domains registered within 24 hours","79","1472857207.04784"
"Total domains registered within 30 Days","2172","1472857207.04784"
"Total domains renewed within 24 Hours","73","1472857207.04784"
"Total domains renewed within 30 Days","2326","1472857207.04784"
"Total domains","61302","1472864406.90723"
"Total domains registered within 24 hours","80","1472864406.90723"
"Total domains registered within 30 Days","2173","1472864406.90723"
"Total domains renewed within 24 Hours","72","1472864406.90723"
"Total domains renewed within 30 Days","2326","1472864406.90723"
"Total domains","61287","1472871606.56399"
"Total domains registered within 24 hours","79","1472871606.56399"
"Total domains registered within 30 Days","2172","1472871606.56399"
"Total domains renewed within 24 Hours","72","1472871606.56399"
"Total domains renewed within 30 Days","2325","1472871606.56399"
"Total domains","61287","1472878806.3368"
"Total domains registered within 24 hours","78","1472878806.3368"
"Total domains registered within 30 Days","2169","1472878806.3368"
"Total domains renewed within 24 Hours","73","1472878806.3368"
"Total domains renewed within 30 Days","2325","1472878806.3368"
"Total domains","61290","1472886006.8333"
"Total domains registered within 24 hours","71","1472886006.8333"
"Total domains registered within 30 Days","2164","1472886006.8333"
"Total domains renewed within 24 Hours","67","1472886006.8333"
"Total domains renewed within 30 Days","2319","1472886006.8333"
"Total domains","61293","1472893207.20437"
"Total domains registered within 24 hours","58","1472893207.20437"
"Total domains registered within 30 Days","2160","1472893207.20437"
"Total domains renewed within 24 Hours","53","1472893207.20437"
"Total domains renewed within 30 Days","2309","1472893207.20437"
"Total domains","61300","1472900406.33277"
"Total domains registered within 24 hours","46","1472900406.33277"
"Total domains registered within 30 Days","2152","1472900406.33277"
"Total domains renewed within 24 Hours","54","1472900406.33277"
"Total domains renewed within 30 Days","2305","1472900406.33277"
"Total domains","61311","1472907606.43101"
"Total domains registered within 24 hours","42","1472907606.43101"
"Total domains registered within 30 Days","2142","1472907606.43101"
"Total domains renewed within 24 Hours","37","1472907606.43101"
"Total domains renewed within 30 Days","2287","1472907606.43101"
"Total domains","61316","1472914813.16684"
"Total domains registered within 24 hours","39","1472914813.16684"
"Total domains registered within 30 Days","2137","1472914813.16684"
"Total domains renewed within 24 Hours","28","1472914813.16684"
"Total domains renewed within 30 Days","2282","1472914813.16684"
"Total domains","61317","1472922014.16285"
"Total domains registered within 24 hours","35","1472922014.16285"
"Total domains registered within 30 Days","2128","1472922014.16285"
"Total domains renewed within 24 Hours","27","1472922014.16285"
"Total domains renewed within 30 Days","2283","1472922014.16285"
"Total domains","61319","1472929206.95068"
"Total domains registered within 24 hours","34","1472929206.95068"
"Total domains registered within 30 Days","2125","1472929206.95068"
"Total domains renewed within 24 Hours","30","1472929206.95068"
"Total domains renewed within 30 Days","2285","1472929206.95068"
"Total domains","61322","1472936406.10718"
"Total domains registered within 24 hours","36","1472936406.10718"
"Total domains registered within 30 Days","2127","1472936406.10718"
"Total domains renewed within 24 Hours","30","1472936406.10718"
"Total domains renewed within 30 Days","2283","1472936406.10718"
"Total domains","61322","1472943606.95651"
"Total domains registered within 24 hours","36","1472943606.95651"
"Total domains registered within 30 Days","2124","1472943606.95651"
"Total domains renewed within 24 Hours","36","1472943606.95651"
"Total domains renewed within 30 Days","2289","1472943606.95651"
"Total domains","61323","1472950806.83521"
"Total domains registered within 24 hours","36","1472950806.83521"
"Total domains registered within 30 Days","2125","1472950806.83521"
"Total domains renewed within 24 Hours","37","1472950806.83521"
"Total domains renewed within 30 Days","2289","1472950806.83521"
"Total domains","61268","1472958013.17994"
"Total domains registered within 24 hours","36","1472958013.17994"
"Total domains registered within 30 Days","2125","1472958013.17994"
"Total domains renewed within 24 Hours","37","1472958013.17994"
"Total domains renewed within 30 Days","2288","1472958013.17994"
"Total domains","61268","1472965206.5012"
"Total domains registered within 24 hours","36","1472965206.5012"
"Total domains registered within 30 Days","2125","1472965206.5012"
"Total domains renewed within 24 Hours","36","1472965206.5012"
"Total domains renewed within 30 Days","2286","1472965206.5012"
"Total domains","61268","1472972408.65125"
"Total domains registered within 24 hours","33","1472972408.65125"
"Total domains registered within 30 Days","2112","1472972408.65125"
"Total domains renewed within 24 Hours","33","1472972408.65125"
"Total domains renewed within 30 Days","2274","1472972408.65125"
"Total domains","61272","1472979606.6441"
"Total domains registered within 24 hours","34","1472979606.6441"
"Total domains registered within 30 Days","2101","1472979606.6441"
"Total domains renewed within 24 Hours","28","1472979606.6441"
"Total domains renewed within 30 Days","2256","1472979606.6441"
"Total domains","61273","1472986819.14397"
"Total domains registered within 24 hours","28","1472986819.14397"
"Total domains registered within 30 Days","2096","1472986819.14397"
"Total domains renewed within 24 Hours","22","1472986819.14397"
"Total domains renewed within 30 Days","2250","1472986819.14397"
"Total domains","61275","1472994007.31328"
"Total domains registered within 24 hours","19","1472994007.31328"
"Total domains registered within 30 Days","2080","1472994007.31328"
"Total domains renewed within 24 Hours","21","1472994007.31328"
"Total domains renewed within 30 Days","2242","1472994007.31328"
"Total domains","61280","1473001206.52841"
"Total domains registered within 24 hours","19","1473001206.52841"
"Total domains registered within 30 Days","2071","1473001206.52841"
"Total domains renewed within 24 Hours","18","1473001206.52841"
"Total domains renewed within 30 Days","2232","1473001206.52841"
"Total domains","61282","1473008405.96988"
"Total domains registered within 24 hours","20","1473008405.96988"
"Total domains registered within 30 Days","2063","1473008405.96988"
"Total domains renewed within 24 Hours","19","1473008405.96988"
"Total domains renewed within 30 Days","2231","1473008405.96988"
"Total domains","61285","1473015606.6829"
"Total domains registered within 24 hours","21","1473015606.6829"
"Total domains registered within 30 Days","2063","1473015606.6829"
"Total domains renewed within 24 Hours","18","1473015606.6829"
"Total domains renewed within 30 Days","2232","1473015606.6829"
"Total domains","61286","1473022806.87783"
"Total domains registered within 24 hours","19","1473022806.87783"
"Total domains registered within 30 Days","2061","1473022806.87783"
"Total domains renewed within 24 Hours","17","1473022806.87783"
"Total domains renewed within 30 Days","2230","1473022806.87783"
"Total domains","61287","1473030006.28531"
"Total domains registered within 24 hours","20","1473030006.28531"
"Total domains registered within 30 Days","2061","1473030006.28531"
"Total domains renewed within 24 Hours","11","1473030006.28531"
"Total domains renewed within 30 Days","2230","1473030006.28531"
"Total domains","61287","1473037206.54804"
"Total domains registered within 24 hours","19","1473037206.54804"
"Total domains registered within 30 Days","2060","1473037206.54804"
"Total domains renewed within 24 Hours","10","1473037206.54804"
"Total domains renewed within 30 Days","2230","1473037206.54804"
"Total domains","61236","1473044406.80088"
"Total domains registered within 24 hours","19","1473044406.80088"
"Total domains registered within 30 Days","2060","1473044406.80088"
"Total domains renewed within 24 Hours","11","1473044406.80088"
"Total domains renewed within 30 Days","2231","1473044406.80088"
"Total domains","61238","1473051606.52517"
"Total domains registered within 24 hours","21","1473051606.52517"
"Total domains registered within 30 Days","2062","1473051606.52517"
"Total domains renewed within 24 Hours","16","1473051606.52517"
"Total domains renewed within 30 Days","2236","1473051606.52517"
"Total domains","61242","1473058806.29847"
"Total domains registered within 24 hours","25","1473058806.29847"
"Total domains registered within 30 Days","2066","1473058806.29847"
"Total domains renewed within 24 Hours","24","1473058806.29847"
"Total domains renewed within 30 Days","2239","1473058806.29847"
"Total domains","61256","1473066007.06334"
"Total domains registered within 24 hours","35","1473066007.06334"
"Total domains registered within 30 Days","2069","1473066007.06334"
"Total domains renewed within 24 Hours","56","1473066007.06334"
"Total domains renewed within 30 Days","2267","1473066007.06334"
"Total domains","61275","1473073206.4068"
"Total domains registered within 24 hours","53","1473073206.4068"
"Total domains registered within 30 Days","2085","1473073206.4068"
"Total domains renewed within 24 Hours","78","1473073206.4068"
"Total domains renewed within 30 Days","2284","1473073206.4068"
"Total domains","61292","1473080406.48591"
"Total domains registered within 24 hours","67","1473080406.48591"
"Total domains registered within 30 Days","2096","1473080406.48591"
"Total domains renewed within 24 Hours","91","1473080406.48591"
"Total domains renewed within 30 Days","2291","1473080406.48591"
"Total domains","61303","1473087606.56894"
"Total domains registered within 24 hours","73","1473087606.56894"
"Total domains registered within 30 Days","2104","1473087606.56894"
"Total domains renewed within 24 Hours","122","1473087606.56894"
"Total domains renewed within 30 Days","2322","1473087606.56894"
"Total domains","61310","1473094807.63985"
"Total domains registered within 24 hours","78","1473094807.63985"
"Total domains registered within 30 Days","2104","1473094807.63985"
"Total domains renewed within 24 Hours","125","1473094807.63985"
"Total domains renewed within 30 Days","2326","1473094807.63985"
"Total domains","61321","1473102006.80026"
"Total domains registered within 24 hours","86","1473102006.80026"
"Total domains registered within 30 Days","2114","1473102006.80026"
"Total domains renewed within 24 Hours","124","1473102006.80026"
"Total domains renewed within 30 Days","2323","1473102006.80026"
"Total domains","61321","1473109206.63249"
"Total domains registered within 24 hours","85","1473109206.63249"
"Total domains registered within 30 Days","2110","1473109206.63249"
"Total domains renewed within 24 Hours","125","1473109206.63249"
"Total domains renewed within 30 Days","2324","1473109206.63249"
"Total domains","61323","1473116407.23736"
"Total domains registered within 24 hours","86","1473116407.23736"
"Total domains registered within 30 Days","2111","1473116407.23736"
"Total domains renewed within 24 Hours","125","1473116407.23736"
"Total domains renewed within 30 Days","2323","1473116407.23736"
"Total domains","61324","1473123606.22943"
"Total domains registered within 24 hours","87","1473123606.22943"
"Total domains registered within 30 Days","2112","1473123606.22943"
"Total domains renewed within 24 Hours","125","1473123606.22943"
"Total domains renewed within 30 Days","2323","1473123606.22943"
"Total domains","61279","1473130806.771"
"Total domains registered within 24 hours","87","1473130806.771"
"Total domains registered within 30 Days","2112","1473130806.771"
"Total domains renewed within 24 Hours","124","1473130806.771"
"Total domains renewed within 30 Days","2323","1473130806.771"
"Total domains","61281","1473138007.13465"
"Total domains registered within 24 hours","87","1473138007.13465"
"Total domains registered within 30 Days","2114","1473138007.13465"
"Total domains renewed within 24 Hours","132","1473138007.13465"
"Total domains renewed within 30 Days","2336","1473138007.13465"
"Total domains","61290","1473145206.71649"
"Total domains registered within 24 hours","92","1473145206.71649"
"Total domains registered within 30 Days","2120","1473145206.71649"
"Total domains renewed within 24 Hours","138","1473145206.71649"
"Total domains renewed within 30 Days","2345","1473145206.71649"
"Total domains","61310","1473152406.25027"
"Total domains registered within 24 hours","98","1473152406.25027"
"Total domains registered within 30 Days","2138","1473152406.25027"
"Total domains renewed within 24 Hours","126","1473152406.25027"
"Total domains renewed within 30 Days","2366","1473152406.25027"
"Total domains","61323","1473159606.48346"
"Total domains registered within 24 hours","92","1473159606.48346"
"Total domains registered within 30 Days","2148","1473159606.48346"
"Total domains renewed within 24 Hours","119","1473159606.48346"
"Total domains renewed within 30 Days","2375","1473159606.48346"
"Total domains","61338","1473166806.33212"
"Total domains registered within 24 hours","91","1473166806.33212"
"Total domains registered within 30 Days","2159","1473166806.33212"
"Total domains renewed within 24 Hours","120","1473166806.33212"
"Total domains renewed within 30 Days","2385","1473166806.33212"
"Total domains","61353","1473174006.4452"
"Total domains registered within 24 hours","95","1473174006.4452"
"Total domains registered within 30 Days","2172","1473174006.4452"
"Total domains renewed within 24 Hours","104","1473174006.4452"
"Total domains renewed within 30 Days","2399","1473174006.4452"
"Total domains","61365","1473181206.29642"
"Total domains registered within 24 hours","100","1473181206.29642"
"Total domains registered within 30 Days","2181","1473181206.29642"
"Total domains renewed within 24 Hours","98","1473181206.29642"
"Total domains renewed within 30 Days","2397","1473181206.29642"
"Total domains","61374","1473188406.61171"
"Total domains registered within 24 hours","98","1473188406.61171"
"Total domains registered within 30 Days","2189","1473188406.61171"
"Total domains renewed within 24 Hours","101","1473188406.61171"
"Total domains renewed within 30 Days","2400","1473188406.61171"
"Total domains","61377","1473195606.01454"
"Total domains registered within 24 hours","101","1473195606.01454"
"Total domains registered within 30 Days","2190","1473195606.01454"
"Total domains renewed within 24 Hours","103","1473195606.01454"
"Total domains renewed within 30 Days","2402","1473195606.01454"
"Total domains","61377","1473202806.89114"
"Total domains registered within 24 hours","99","1473202806.89114"
"Total domains registered within 30 Days","2189","1473202806.89114"
"Total domains renewed within 24 Hours","104","1473202806.89114"
"Total domains renewed within 30 Days","2401","1473202806.89114"
"Total domains","61378","1473210006.8061"
"Total domains registered within 24 hours","99","1473210006.8061"
"Total domains registered within 30 Days","2188","1473210006.8061"
"Total domains renewed within 24 Hours","104","1473210006.8061"
"Total domains renewed within 30 Days","2401","1473210006.8061"
"Total domains","61329","1473217206.671"
"Total domains registered within 24 hours","99","1473217206.671"
"Total domains registered within 30 Days","2188","1473217206.671"
"Total domains renewed within 24 Hours","104","1473217206.671"
"Total domains renewed within 30 Days","2401","1473217206.671"
"Total domains","61332","1473224406.73044"
"Total domains registered within 24 hours","100","1473224406.73044"
"Total domains registered within 30 Days","2190","1473224406.73044"
"Total domains renewed within 24 Hours","92","1473224406.73044"
"Total domains renewed within 30 Days","2400","1473224406.73044"
"Total domains","61338","1473231606.53802"
"Total domains registered within 24 hours","97","1473231606.53802"
"Total domains registered within 30 Days","2187","1473231606.53802"
"Total domains renewed within 24 Hours","95","1473231606.53802"
"Total domains renewed within 30 Days","2407","1473231606.53802"
"Total domains","61357","1473238806.91984"
"Total domains registered within 24 hours","97","1473238806.91984"
"Total domains registered within 30 Days","2199","1473238806.91984"
"Total domains renewed within 24 Hours","88","1473238806.91984"
"Total domains renewed within 30 Days","2396","1473238806.91984"
"Total domains","61362","1473246007.23366"
"Total domains registered within 24 hours","89","1473246007.23366"
"Total domains registered within 30 Days","2185","1473246007.23366"
"Total domains renewed within 24 Hours","88","1473246007.23366"
"Total domains renewed within 30 Days","2387","1473246007.23366"
"Total domains","61385","1473253207.267"
"Total domains registered within 24 hours","97","1473253207.267"
"Total domains registered within 30 Days","2194","1473253207.267"
"Total domains renewed within 24 Hours","87","1473253207.267"
"Total domains renewed within 30 Days","2379","1473253207.267"
"Total domains","61407","1473260406.785"
"Total domains registered within 24 hours","104","1473260406.785"
"Total domains registered within 30 Days","2200","1473260406.785"
"Total domains renewed within 24 Hours","85","1473260406.785"
"Total domains renewed within 30 Days","2386","1473260406.785"
"Total domains","61412","1473267606.22809"
"Total domains registered within 24 hours","98","1473267606.22809"
"Total domains registered within 30 Days","2194","1473267606.22809"
"Total domains renewed within 24 Hours","94","1473267606.22809"
"Total domains renewed within 30 Days","2394","1473267606.22809"
"Total domains","61419","1473274807.44899"
"Total domains registered within 24 hours","96","1473274807.44899"
"Total domains registered within 30 Days","2197","1473274807.44899"
"Total domains renewed within 24 Hours","94","1473274807.44899"
"Total domains renewed within 30 Days","2398","1473274807.44899"
"Total domains","61421","1473282006.68517"
"Total domains registered within 24 hours","95","1473282006.68517"
"Total domains registered within 30 Days","2193","1473282006.68517"
"Total domains renewed within 24 Hours","96","1473282006.68517"
"Total domains renewed within 30 Days","2401","1473282006.68517"
"Total domains","61423","1473289206.48439"
"Total domains registered within 24 hours","97","1473289206.48439"
"Total domains registered within 30 Days","2194","1473289206.48439"
"Total domains renewed within 24 Hours","96","1473289206.48439"
"Total domains renewed within 30 Days","2402","1473289206.48439"
"Total domains","61428","1473296407.27106"
"Total domains registered within 24 hours","101","1473296407.27106"
"Total domains registered within 30 Days","2199","1473296407.27106"
"Total domains renewed within 24 Hours","96","1473296407.27106"
"Total domains renewed within 30 Days","2402","1473296407.27106"
"Total domains","61394","1473303606.7534"
"Total domains registered within 24 hours","101","1473303606.7534"
"Total domains registered within 30 Days","2199","1473303606.7534"
"Total domains renewed within 24 Hours","96","1473303606.7534"
"Total domains renewed within 30 Days","2402","1473303606.7534"
"Total domains","61395","1473310806.79868"
"Total domains registered within 24 hours","99","1473310806.79868"
"Total domains registered within 30 Days","2198","1473310806.79868"
"Total domains renewed within 24 Hours","96","1473310806.79868"
"Total domains renewed within 30 Days","2400","1473310806.79868"
"Total domains","61405","1473318006.55308"
"Total domains registered within 24 hours","103","1473318006.55308"
"Total domains registered within 30 Days","2201","1473318006.55308"
"Total domains renewed within 24 Hours","92","1473318006.55308"
"Total domains renewed within 30 Days","2401","1473318006.55308"
"Total domains","61418","1473325206.9697"
"Total domains registered within 24 hours","96","1473325206.9697"
"Total domains registered within 30 Days","2201","1473325206.9697"
"Total domains renewed within 24 Hours","90","1473325206.9697"
"Total domains renewed within 30 Days","2391","1473325206.9697"
"Total domains","61430","1473332406.7597"
"Total domains registered within 24 hours","103","1473332406.7597"
"Total domains registered within 30 Days","2197","1473332406.7597"
"Total domains renewed within 24 Hours","87","1473332406.7597"
"Total domains renewed within 30 Days","2388","1473332406.7597"
"Total domains","61457","1473339606.01619"
"Total domains registered within 24 hours","107","1473339606.01619"
"Total domains registered within 30 Days","2203","1473339606.01619"
"Total domains renewed within 24 Hours","93","1473339606.01619"
"Total domains renewed within 30 Days","2398","1473339606.01619"
"Total domains","61479","1473346807.18415"
"Total domains registered within 24 hours","108","1473346807.18415"
"Total domains registered within 30 Days","2208","1473346807.18415"
"Total domains renewed within 24 Hours","106","1473346807.18415"
"Total domains renewed within 30 Days","2409","1473346807.18415"
"Total domains","61487","1473354006.08406"
"Total domains registered within 24 hours","111","1473354006.08406"
"Total domains registered within 30 Days","2198","1473354006.08406"
"Total domains renewed within 24 Hours","103","1473354006.08406"
"Total domains renewed within 30 Days","2412","1473354006.08406"
"Total domains","61491","1473361206.32451"
"Total domains registered within 24 hours","108","1473361206.32451"
"Total domains registered within 30 Days","2198","1473361206.32451"
"Total domains renewed within 24 Hours","106","1473361206.32451"
"Total domains renewed within 30 Days","2414","1473361206.32451"
"Total domains","61496","1473368406.74997"
"Total domains registered within 24 hours","111","1473368406.74997"
"Total domains registered within 30 Days","2200","1473368406.74997"
"Total domains renewed within 24 Hours","102","1473368406.74997"
"Total domains renewed within 30 Days","2415","1473368406.74997"
"Total domains","61496","1473375607.62094"
"Total domains registered within 24 hours","109","1473375607.62094"
"Total domains registered within 30 Days","2199","1473375607.62094"
"Total domains renewed within 24 Hours","101","1473375607.62094"
"Total domains renewed within 30 Days","2415","1473375607.62094"
"Total domains","61497","1473382806.00266"
"Total domains registered within 24 hours","105","1473382806.00266"
"Total domains registered within 30 Days","2200","1473382806.00266"
"Total domains renewed within 24 Hours","101","1473382806.00266"
"Total domains renewed within 30 Days","2415","1473382806.00266"
"Total domains","61479","1473390006.11535"
"Total domains registered within 24 hours","105","1473390006.11535"
"Total domains registered within 30 Days","2200","1473390006.11535"
"Total domains renewed within 24 Hours","101","1473390006.11535"
"Total domains renewed within 30 Days","2415","1473390006.11535"
"Total domains","61482","1473397206.6141"
"Total domains registered within 24 hours","107","1473397206.6141"
"Total domains registered within 30 Days","2201","1473397206.6141"
"Total domains renewed within 24 Hours","101","1473397206.6141"
"Total domains renewed within 30 Days","2416","1473397206.6141"
"Total domains","61488","1473404406.66378"
"Total domains registered within 24 hours","103","1473404406.66378"
"Total domains registered within 30 Days","2196","1473404406.66378"
"Total domains renewed within 24 Hours","97","1473404406.66378"
"Total domains renewed within 30 Days","2415","1473404406.66378"
"Total domains","61498","1473411606.56209"
"Total domains registered within 24 hours","100","1473411606.56209"
"Total domains registered within 30 Days","2188","1473411606.56209"
"Total domains renewed within 24 Hours","104","1473411606.56209"
"Total domains renewed within 30 Days","2412","1473411606.56209"
"Total domains","61515","1473418806.56915"
"Total domains registered within 24 hours","105","1473418806.56915"
"Total domains registered within 30 Days","2180","1473418806.56915"
"Total domains renewed within 24 Hours","108","1473418806.56915"
"Total domains renewed within 30 Days","2419","1473418806.56915"
"Total domains","61530","1473426011.31559"
"Total domains registered within 24 hours","93","1473426011.31559"
"Total domains registered within 30 Days","2185","1473426011.31559"
"Total domains renewed within 24 Hours","99","1473426011.31559"
